Notes	ManualCheck	MergeInto	RenameKeyGroup	KeyParamGroup	KeyGroup	ParamGroup	Counts	Dim1Size	Dim2Size	Dim3Size	EchoTime	EffectiveEchoSpacing	FlipAngle	HasFieldmap	ImageOrientation	KeyGroupCount	Modality	NSliceTimes	NumVolumes	Obliquity	PartialFourier	PhaseEncodingDirection	RepetitionTime	TotalReadoutTime	UsedAsFieldmap	VoxelSizeDim1	VoxelSizeDim2	VoxelSizeDim3
				datatype-anat_reconstruction-refaced_suffix-T1w__1	datatype-anat_reconstruction-refaced_suffix-T1w	1	190	176	256	256	0.00302		8	False	RAS+	190	anat	0	1.0	True	0.75		2.6		False	0.9999997615814209	1.0	1.0
				acquisition-VARIANTObliquityVoxelSizeDim1_datatype-anat_reconstruction-refaced_suffix-T1w__1	acquisition-VARIANTObliquityVoxelSizeDim1_datatype-anat_reconstruction-refaced_suffix-T1w	1	5	176	256	256	0.00302		8	False	RAS+	5	anat	0	1.0	False	0.75		2.6		False	1.0	1.0	1.0
				datatype-func_run-01_suffix-bold_task-rest__1	datatype-func_run-01_suffix-bold_task-rest	1	165	72	72	38	0.03	0.000510002	80	False	LAS+	165	func	38	184.0	True	1.0	j-	2.5	0.0362102	False	3.0	3.0	3.3299999237060547
				datatype-func_run-02_suffix-bold_task-rest__1	datatype-func_run-02_suffix-bold_task-rest	1	165	72	72	38	0.03	0.000510002	80	False	LAS+	165	func	38	184.0	True	1.0	j-	2.5	0.0362102	False	3.0	3.0	3.3299999237060547
				acquisition-VARIANTObliquity_datatype-func_run-02_suffix-bold_task-rest__1	acquisition-VARIANTObliquity_datatype-func_run-02_suffix-bold_task-rest	1	26	72	72	38	0.03	0.000510002	80	False	LAS+	27	func	38	184.0	False	1.0	j-	2.5	0.0362102	False	3.0	3.0	3.3299999237060547
				acquisition-VARIANTObliquity_datatype-func_run-02_suffix-bold_task-rest__2	acquisition-VARIANTObliquity_datatype-func_run-02_suffix-bold_task-rest	2	1	72	72	38	0.03	0.000510002	80	False	LAS+	27	func	38	184.0	False	1.0	j-	2.5	0.0362102	False	3.0	3.0	3.440999984741211
				acquisition-VARIANTObliquity_datatype-func_run-01_suffix-bold_task-rest__1	acquisition-VARIANTObliquity_datatype-func_run-01_suffix-bold_task-rest	1	22	72	72	38	0.03	0.000510002	80	False	LAS+	24	func	38	184.0	False	1.0	j-	2.5	0.0362102	False	3.0	3.0	3.3299999237060547
				acquisition-VARIANTObliquity_datatype-func_run-01_suffix-bold_task-rest__2	acquisition-VARIANTObliquity_datatype-func_run-01_suffix-bold_task-rest	2	2	72	72	38	0.03	0.000510002	80	False	LAS+	24	func	38	184.0	False	1.0	j-	2.5	0.0362102	False	3.0	3.0	3.440999984741211
				acquisition-VARIANTObliquityVoxelSizeDim3_datatype-func_run-01_suffix-bold_task-rest__1	acquisition-VARIANTObliquityVoxelSizeDim3_datatype-func_run-01_suffix-bold_task-rest	1	2	72	72	38	0.03	0.000510002	80	False	LAS+	5	func	38	184.0	False	1.0	j-	2.5	0.0362102	False	3.0	3.0	3.6629998683929443
				acquisition-VARIANTObliquityVoxelSizeDim3_datatype-func_run-01_suffix-bold_task-rest__2	acquisition-VARIANTObliquityVoxelSizeDim3_datatype-func_run-01_suffix-bold_task-rest	2	1	72	72	38	0.03	0.000510002	80	False	LAS+	5	func	38	184.0	False	1.0	j-	2.5	0.0362102	False	3.0	3.0	3.552000045776367
				acquisition-VARIANTObliquityVoxelSizeDim3_datatype-func_run-01_suffix-bold_task-rest__3	acquisition-VARIANTObliquityVoxelSizeDim3_datatype-func_run-01_suffix-bold_task-rest	3	1	72	72	38	0.03	0.000510002	80	False	LAS+	5	func	38	184.0	False	1.0	j-	2.5	0.0362102	False	3.0	3.0	3.884999990463257
				acquisition-VARIANTObliquityVoxelSizeDim3_datatype-func_run-01_suffix-bold_task-rest__4	acquisition-VARIANTObliquityVoxelSizeDim3_datatype-func_run-01_suffix-bold_task-rest	4	1	72	72	38	0.03	0.000510002	80	False	LAS+	5	func	38	184.0	False	1.0	j-	2.5	0.0362102	False	3.0	3.0	3.7739999294281006
				acquisition-VARIANTObliquityVoxelSizeDim3_datatype-func_run-02_suffix-bold_task-rest__1	acquisition-VARIANTObliquityVoxelSizeDim3_datatype-func_run-02_suffix-bold_task-rest	1	1	72	72	38	0.03	0.000510002	80	False	LAS+	2	func	38	184.0	False	1.0	j-	2.5	0.0362102	False	3.0	3.0	3.6629998683929443
				acquisition-VARIANTObliquityVoxelSizeDim3_datatype-func_run-02_suffix-bold_task-rest__2	acquisition-VARIANTObliquityVoxelSizeDim3_datatype-func_run-02_suffix-bold_task-rest	2	1	72	72	38	0.03	0.000510002	80	False	LAS+	2	func	38	184.0	False	1.0	j-	2.5	0.0362102	False	3.0	3.0	3.996000051498413
				acquisition-VARIANTVoxelSizeDim3_datatype-func_run-01_suffix-bold_task-rest__1	acquisition-VARIANTVoxelSizeDim3_datatype-func_run-01_suffix-bold_task-rest	1	1	72	72	38	0.03	0.000510002	80	False	LAS+	1	func	38	184.0	True	1.0	j-	2.5	0.0362102	False	3.0	3.0	3.6630001068115234
